"routeno","route_name","route_address","Starting","Destination","TotalStops","TravelTime","Distance","FirstBusFromStartingPoint","LastBusFromStartingPoint","FirstBusFromFromDestination","LastBusFromDestination"
"1","R C Church to Bandra Reclamation Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-1","R C Church","Bandra Reclamation Bus Station","44","1 Hour 40 Minutes","25.9","07:55","21:00","06:30","21:32"
"1-ltd","Colaba Bus Station to Santacruz Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-1-ltd","Colaba Bus Station","Santacruz Depot","33","1 Hour 16 Minutes","NA","Time Not Available","Time Not Available","Time Not Available","Time Not Available"
"10-ltd","Hutatma Chowk to Ghatkopar Depot Caseurina Route Map","https://www.mumbai77.com/bus-routes/bus-no-10-ltd","Hutatma Chowk","Ghatkopar Depot Caseurina","53","1 Hour 8 Minutes","26.1","08:03","20:35","07:00","18:15"
"100","Ahilyabai Holkar Chowk Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-100","Ahilyabai Holkar Chowk","Ahilyabai Holkar Chowk","11","41 Minutes","3.3","08:30","18:48","Ahilyabai Holkar Chow","Petroleum Hous"
"101","Colaba Depot to Walkeshwar Route Map","https://www.mumbai77.com/bus-routes/bus-no-101","Colaba Depot","Walkeshwar","26","51 Minutes","9.9","06:45","20:30","06:50","19:21"
"102","Grant Road Station East Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-102","Grant Road Station East","Grant Road Station East","14","Unknown","5.1","06:00","22:00","Grant Road Station Eas","Novelty Cinema Dr Bhadkamkar Roa"
"103","R C Church to Kamla Nehru Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-103","R C Church","Kamla Nehru Park","37","1 Hour 8 Minutes","14.4","08:19","22:05","07:50","22:38"
"104","J Mehta Marg Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-104","J Mehta Marg","J Mehta Marg","33","38 Minutes","11.4","05:45","22:53","J Mehta Mar","Darya Maha"
"105","Kamla Nehru Park Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-105","Kamla Nehru Park","Kamla Nehru Park","40","35 Minutes","13.4","06:30","21:12","Kamla Nehru Par","Sahyadri Guest House Walkeshwa"
"106","R C Church to Kamla Nehru Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-106","R C Church","Kamla Nehru Park","29","1 Hour 8 Minutes","12.4","06:30","19:22","07:10","20:22"
"108","Mumbai C S T to Kamla Nehru Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-108","Mumbai C S T","Kamla Nehru Park","31","50 Minutes","11.6","06:30","20:02","07:10","20:30"
"11-ltd","Navy Nagar Colaba to Bandra Colony Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-11-ltd","Navy Nagar Colaba","Bandra Colony Bus Station","38","1 Hour 32 Minutes","22.3","07:05","19:05","08:25","20:50"
"110","Com P K Kurne Chowk to Sangam Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-110","Com P K Kurne Chowk","Sangam Nagar","19","39 Minutes","7.1","06:10","22:30","06:00","23:00"
"111","Mumbai C S T Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-111","Mumbai C S T","Mumbai C S T","12","23 Minutes","4.9","06:30","10:33","Mumbai C S ","Swami D Saraswati Chowk For"
"112","Ahilyabai Holkar Chowk to Gateway Of India Route Map","https://www.mumbai77.com/bus-routes/bus-no-112","Ahilyabai Holkar Chowk","Gateway Of India","4","13 Minutes","2.4","11:55","19:30","12:07","19:44"
"120","Pt Paluskar Chowk Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-120","Pt Paluskar Chowk","Pt Paluskar Chowk","10","45 Minutes","NA","Time Not Available","Time Not Available","Pt Paluskar Chow","S K Patil Garden Charni Roa"
"121","Backbay Depot to J Mehta Marg Route Map","https://www.mumbai77.com/bus-routes/bus-no-121","Backbay Depot","J Mehta Marg","36","1 Hour 6 Minutes","12.8","05:30","21:40","06:05","20:45"
"122","Ballard Pier to J Mehta Marg Route Map","https://www.mumbai77.com/bus-routes/bus-no-122","Ballard Pier","J Mehta Marg","28","1 Hour 1 Minutes","9.7","07:40","16:33","07:00","17:32"
"123","R C Church to Vasantrao Naik Chowk Tardeo Route Map","https://www.mumbai77.com/bus-routes/bus-no-123","R C Church","Vasantrao Naik Chowk Tardeo","23","54 Minutes","10.4","06:40","19:48","06:00","18:54"
"124","Colaba Bus Station to Worli Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-124","Colaba Bus Station","Worli Depot","39","1 Hour 8 Minutes","16.8","06:35","21:59","07:09","21:20"
"125","Navy Nagar Colaba to Worli Village Route Map","https://www.mumbai77.com/bus-routes/bus-no-125","Navy Nagar Colaba","Worli Village","40","1 Hour 6 Minutes","16.4","07:00","22:35","06:05","21:05"
"126","Mantralaya to Jijamata Udyan Route Map","https://www.mumbai77.com/bus-routes/bus-no-126","Mantralaya","Jijamata Udyan","36","42 Minutes","12.9","08:00","20:45","07:05","19:10"
"130","Dr S P Mukherji Chowk Museum to Vasantrao Naik Chowk Tardeo Route Map","https://www.mumbai77.com/bus-routes/bus-no-130","Dr S P Mukherji Chowk Museum","Vasantrao Naik Chowk Tardeo","19","37 Minutes","6.4","06:15","23:05","05:45","22:25"
"132","Colaba Bus Station Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-132","Colaba Bus Station","Colaba Bus Station","43","24 Minutes","20.8","06:00","11:44","Colaba Bus Statio","Sasoon Doc"
"133","Colaba Bus Station Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-133","Colaba Bus Station","Colaba Bus Station","43","23 Minutes","20.8","06:10","11:08","Colaba Bus Statio","Sasoon Doc"
"134","Backbay Depot to P Thakre Udyan Bus Station Sewree Route Map","https://www.mumbai77.com/bus-routes/bus-no-134","Backbay Depot","P Thakre Udyan Bus Station Sewree","40","1 Hour 44 Minutes","16.5","08:05","21:05","06:35","20:01"
"135","Ferry Wharf to J Mehta Marg Route Map","https://www.mumbai77.com/bus-routes/bus-no-135","Ferry Wharf","J Mehta Marg","31","53 Minutes","10.4","06:20","20:25","06:00","21:20"
"137","Navy Nagar Colaba Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-137","Navy Nagar Colaba","Navy Nagar Colaba","20","37 Minutes","11","06:55","22:50","Navy Nagar Colab","Dhobi Ghat Colab"
"137-bus2","Navy Nagar Colaba Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-137-bus2","Navy Nagar Colaba","Navy Nagar Colaba","22","37 Minutes","NA","Time Not Available","Time Not Available","Navy Nagar Colab","Dhobi Ghat Colab"
"138","Backbay Depot to Mumbai C S T Route Map","https://www.mumbai77.com/bus-routes/bus-no-138","Backbay Depot","Mumbai C S T","13","33 Minutes","6.2","07:30","20:24","06:58","19:59"
"139","Geeta Nagar Colaba to Mumbai C S T Route Map","https://www.mumbai77.com/bus-routes/bus-no-139","Geeta Nagar Colaba","Mumbai C S T","14","54 Minutes","6.6","06:55","19:05","06:30","19:35"
"14","Dr S P Mukherji Chowk Museum to Pratiksha Nagar Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-14","Dr S P Mukherji Chowk Museum","Pratiksha Nagar Depot","48","1 Hour 11 Minutes","21.2","06:15","20:00","07:30","17:57"
"15","Mantralaya to Pratiksha Nagar Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-15","Mantralaya","Pratiksha Nagar Depot","45","1 Hour 14 Minutes","18.9","06:45","23:00","07:20","08:10"
"151","J Mehta Marg to Wadala Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-151","J Mehta Marg","Wadala Depot","32","1 Hour 5 Minutes","12.8","09:59","19:20","09:06","15:47"
"154","Byculla Station West to Nehru Planetarium Route Map","https://www.mumbai77.com/bus-routes/bus-no-154","Byculla Station West","Nehru Planetarium","14","37 Minutes","4.4","06:25","22:22","06:40","22:20"
"155","Grant Road Station West Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-155","Grant Road Station West","Grant Road Station West","12","9 Minutes","4.8","06:00","22:12","Grant Road Station Wes","Sonawala Buildin"
"156","Simla House to Byculla Station West Route Map","https://www.mumbai77.com/bus-routes/bus-no-156","Simla House","Byculla Station West","19","1 Hour","6.2","06:40","19:13","06:30","19:53"
"16-ltd","Wadala Depot to S R A Colony Vashi Naka Route Map","https://www.mumbai77.com/bus-routes/bus-no-16-ltd","Wadala Depot","S R A Colony Vashi Naka","20","50 Minutes","10.6","07:40","21:45","06:50","20:30"
"160","P Thakre Udyan Bus Station Sewree to Ram Ganesh Gadkari Chowk Shivaji Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-160","P Thakre Udyan Bus Station Sewree","Ram Ganesh Gadkari Chowk Shivaji Park","12","42 Minutes","5.1","07:00","21:15","07:35","21:55"
"161","Worli Depot to Nadkarni Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-161","Worli Depot","Nadkarni Park","28","50 Minutes","10.6","07:49","19:57","07:10","18:53"
"162","P Thakre Udyan Bus Station Sewree to Worli Village Route Map","https://www.mumbai77.com/bus-routes/bus-no-162","P Thakre Udyan Bus Station Sewree","Worli Village","13","27 Minutes","4.8","06:05","22:40","05:40","22:24"
"163","P Thakre Udyan Bus Station Sewree to Worli Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-163","P Thakre Udyan Bus Station Sewree","Worli Depot","12","34 Minutes","5.4","12:05","18:11","12:30","18:38"
"164","Maharana Pratap Chowk Mazgaon to Dharavi Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-164","Maharana Pratap Chowk Mazgaon","Dharavi Depot","40","44 Minutes","17.2","07:45","21:10","07:45","19:28"
"165","Kasturba Gandhi Chowk to Dharavi Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-165","Kasturba Gandhi Chowk","Dharavi Depot","38","52 Minutes","16.7","06:00","23:40","05:43","22:22"
"166","Mumbai Central Depot to Dharavi Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-166","Mumbai Central Depot","Dharavi Depot","50","44 Minutes","21.8","08:15","18:58","07:00","21:00"
"167","Com P K Kurne Chowk Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-167","Com P K Kurne Chowk","Com P K Kurne Chowk","12","12 Minutes","3.5","06:00","20:5","Com P K Kurne Chow","Gopal Naga"
"167-bus2","Worli Depot Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-167-bus2","Worli Depot","Worli Depot","30","28 Minutes","NA","Time Not Available","Time Not Available","Worli Depo","Worli Sea Face "
